p45;FL74;EPK211;p15E;Provirus;id
0.00125;-0.013513514;-0.171821306;-0.027888446;0;1
0.0075;-0.007432432;-0.092783505;-0.009296149;0;2
-0.001875;-0.035135135;-0.223367698;-0.037184595;0;3
-0.011875;-0.032432432;-0.089347079;-0.017928287;0;4
-0.02625;-0.034459459;-0.233676976;-0.040504648;0;5
0.01375;0.013513514;-0.137457045;0.03187251;0;6
0.038125;-0.033108108;-0.243986254;-0.030544489;0;7
0.008125;-0.019594595;-0.109965636;-0.009296149;0;8
0.005625;0.011486486;-0.113402062;0.000664011;0;9
-0.00625;-0.028378378;-0.089347079;0;0;10
0.0275;0.016891892;0.037800687;-0.002656042;0;11
-0.008125;-0.002027027;-0.192439863;-0.032536521;0;12
0;-0.019594595;-0.140893471;-0.015272244;0;13
-0.023125;-0.035810811;-0.161512027;-0.018592297;0;14
0.0025;-0.006756757;0.079037801;-0.017264276;0;15
-0.01875;-0.039864865;-0.178694158;-0.033864542;0;16
-0.006875;-0.036486486;-0.164948454;-0.033200531;0;17
-0.0125;-0.045945946;-0.195876289;-0.040504648;0;18
-0.009375;-0.035810811;-0.137457045;-0.015936255;0;19
-0.01625;-0.045945946;-0.18556701;-0.035856574;0;20
-0.004375;-0.032432432;-0.144329897;-0.040504648;0;21
0.00875;-0.02027027;-0.109965636;-0.015936255;0;22
-0.006875;-0.016891892;-0.116838488;0.035856574;0;23
-0.003125;-0.031081081;-0.281786942;-0.013944223;0;24
-0.005625;-0.035135135;-0.18556701;-0.028552457;0;25
0.01125;0.00472973;-0.178694158;0.007968127;0;26
-0.0025;-0.037162162;-0.16838488;-0.029216467;0;27
0.02625;-0.036486486;-0.281786942;-0.033864542;0;28
0.015;0.018918919;-0.16838488;-0.007304117;0;29
0.0075;-0.00472973;-0.075601375;-0.003320053;0;30
-0.021875;-0.046621622;-0.233676976;-0.039840637;0;31
-0.014375;-0.044594595;-0.243986254;-0.041832669;0;32
-0.013125;-0.039189189;-0.219931271;-0.035192563;0;33
-0.00125;-0.028378378;-0.089347079;0.037184595;0;34
-0.0125;-0.040540541;-0.199312715;-0.003984064;0;35
0.008125;0.032432432;-0.171821306;-0.009960159;0;36
0.038125;-0.014864865;-0.113402062;-0.009296149;0;37
0.04625;-0.016891892;-0.079037801;-0.020584329;0;38
0.055625;-0.029054054;-0.116838488;-0.023240372;0;39
-0.006875;-0.028378378;-0.171821306;-0.034528552;0;40
0.000625;-0.013513514;-0.199312715;-0.033200531;0;41
0.005625;-0.008108108;-0.12371134;0.006640106;0;42
-0.01625;-0.026351351;-0.16838488;-0.029216467;0;43
0.000625;-0.012837838;-0.06185567;0.017928287;0;44
0.00125;-0.029054054;-0.171821306;-0.035856574;0;45
-0.016353725;-0.005350195;-0.016611296;-0.022149837;0;46
-0.016353725;-0.022859922;-0.03986711;0.001302932;0;47
-0.016353725;-0.024319066;-0.029900332;-0.03713355;0;48
-0.015142338;-0.019941634;-0.063122924;-0.028664495;0;49
-0.01029679;-0.019941634;-0.099667774;-0.022149837;0;50
-0.008479709;-0.024319066;-0.07641196;-0.013029316;0;51
-0.006662629;-0.00729572;0.086378738;-0.019543974;0;52
-0.004845548;-0.007782101;0;-0.005863192;0;53
-0.002422774;-0.006809339;-0.102990033;-0.00781759;0;54
-0.006056935;0.089494163;-0.006644518;-0.015635179;0;55
-0.011508177;0.050583658;-0.046511628;-0.020846906;0;56
-0.014536644;-0.020914397;-0.093023256;-0.028664495;0;57
0.038764385;0.052042802;0.534883721;0.000651466;0;58
-0.004845548;-0.019941634;-0.106312292;-0.035830619;0;59
-0.003028468;-0.008754864;-0.046511628;-0.014983713;0;60
-0.01211387;-0.015564202;-0.019933555;-0.028013029;0;61
-0.025439128;0.013618677;-0.11627907;-0.030618893;0;62
-0.01029679;-0.019941634;-0.043189369;-0.026058632;0;63
-0.004239855;-0.008268482;0.026578073;-0.040390879;0;64
0.019987886;-0.017996109;0.179401993;-0.004560261;0;65
0.044215627;0.049124514;-0.059800664;0.01237785;0;66
-0.021199273;-0.026750973;-0.129568106;-0.022801303;0;67
-0.014536644;-0.035019455;-0.099667774;-0.043648208;0;68
-0.008479709;-0.017996109;-0.03986711;-0.011726384;0;69
-0.008479709;-0.024319066;-0.169435216;-0.021498371;0;70
0.054512417;-0.016050584;0.009966777;0.001954397;0;71
-0.003028468;-0.003404669;0.059800664;-0.026058632;0;72
-0.02241066;-0.02577821;-0.066445183;-0.019543974;0;73
-0.006056935;-0.021400778;-0.102990033;-0.040390879;0;74
0.002422774;-0.016536965;-0.099667774;-0.016286645;0;75
-0.016959419;-0.031128405;-0.079734219;-0.03713355;0;76
-0.008479709;-0.02577821;-0.106312292;-0.041042345;0;77
-0.01029679;-0.027723735;-0.139534884;-0.041693811;0;78
