Katze;p45;FL74;EPK211;p15E;Provirus
6;0.327;0.247;0.829;0.037;1
10;0.749;0.899;1.505;0.661;1
Findelkatze;0.729;0.849;1.014;0.781;1
13;0.614;0.936;2.679;0.165;1
14;0.323;0.916;2.493;0.177;1
16;0.822;0.971;1.392;0.937;1
17;0.376;0.326;2.133;0.117;1
Kätzin;0.582;1.006;2.439;0.246;1
Munggi;0.595;0.742;2.097;0.180;1
Chilli;0.235;0.972;1.690;0.681;1
Tequilla;0.649;0.516;0.932;1.072;1
Köbu;0.786;0.865;0.626;0.117;1
Luzius;1.053;0.970;2.441;0.416;1
Jotty;0.975;0.886;4.489;0.140;1
Chicco;0.285;0.465;0.365;0.422;1
Buitz;0.338;0.222;1.336;0.173;1
Marpi;0.415;0.745;1.212;0.936;1
Lilly;0.612;0.658;0.848;0.677;1
Noisette;0.437;0.222;1.203;0.003;1
Minouche;0.489;0.467;1.931;1.134;1
Jimmy;0.682;0.687;2.567;0.994;1
1;0.249;0.458;0.680;0.482;1
2;0.607;0.450;1.442;0.835;1
3;0.392;0.407;0.803;0.868;1
4;0.682;0.282;0.973;0.981;1
5;0.532;0.284;0.841;0.531;1
7;0.324;0.225;0.552;0.039;1
8;0.258;0.189;0.401;-0.003;1
9;0.581;0.656;2.064;0.695;1
Oliver;0.128;0.137;0.024;0.107;1
Minka;0.131;0.071;0.178;-0.003;1
15;0.187;0.168;0.688;0.280;1
29;0.313;0.328;0.763;0.608;1
31;0.566;0.726;1.771;0.616;1
34;0.496;0.510;2.115;0.440;1
Huguenin;0.381;0.669;1.611;0.378;1
Tigerli;0.148;0.649;2.806;0.227;1
Kater;0.728;0.688;7.236;0.951;1
Suleika;0.395;0.187;1.632;0.108;1
Birillo;0.378;0.471;1.351;0.617;1
Bonnie;0.304;0.154;1.096;0.014;1
Mauzi;0.372;0.731;1.431;0.677;1
Schuschu;0.372;0.731;1.431;0.374;1
Spartago;0.634;0.876;5.989;0.092;0
Schnuru;0.468;0.960;2.164;0.045;0
Cepetto;0.159;0.134;0.097;0.006;0
Sylvester;0.327;0.922;2.831;0.076;0
